Reference	Count	Part	Mouser Part #
C1, C2, C3	3	          0.1uf	581-08055C104J
CON1	1	AVR-ISP-6-FIXED	855-M20-8760342
CONN1	1	          K3000	534-3000
D1	1	            LED	Do Not Populate!!
J1	1	     MINI_USB-B	154-15320-E
P1	1	           1:00	
P10	1	          10:00	
P11	1	          11:00	
P12	1	          12:00	
P13	1	            I2C	
P14	1	          Power	
P2	1	           2:00	
P3	1	           3:00	
P4	1	           4:00	
P5	1	           5:00	
P6	1	           6:00	
P7	1	           7:00	
P8	1	           8:00	
P9	1	           9:00	
Q1, Q2, Q3, Q4	4	          2907A	512-MMBT2907AD87Z
R1	1	            10k	667-ERJ-6GEYJ103V
R2, R3, R9	3	2056	292-2.05K-RC
R4	1	220	Do Not Populate!!
R5, R6, R7, R8	4	             1k	260-1.0K-RC
SW1	1	          Hours	642-MJTP1230
SW2	1	        Minutes	642-MJTP1230
U1	1	       ATTINY44	556-ATTINY84-20SSU
U2	1	       MCP7940N	579-MCP79410-I/SN
U3	1	   STP16CP05MTR	511-STP16CP05MTR
X1	1	32.768	815-AB38T-32.768KHZ
